Temperature,Time
4,0
32.15,0.02
32.15,0.04
32.15,0.06
32.15,0.08
32.15,0.1
32.15,0.12
32.15,0.14
32.15,0.16
32.13,0.18
32.13,0.2
32.13,0.22
32.13,0.24
32.13,0.26
32.13,0.28
32.13,0.3
32.13,0.32
32.15,0.34
32.15,0.36
32.15,0.38
32.15,0.4
32.11,0.42
32.11,0.44
32.11,0.46
32.11,0.48
32.11,0.5
32.11,0.52
32.11,0.54
32.11,0.56
32.13,0.58
32.13,0.6
32.13,0.62
32.13,0.64
32.13,0.66
32.13,0.68
32.13,0.7
32.13,0.72
32.13,0.74
32.13,0.76
32.13,0.78
32.13,0.8
32.13,0.82
32.13,0.84
32.13,0.86
32.13,0.88
32.13,0.9
32.13,0.92
32.13,0.94
32.13,0.96
32.11,0.98
32.11,1
32.11,1.02
32.11,1.04
32.13,1.06
32.13,1.08
32.13,1.1
32.13,1.12
32.13,1.14
32.13,1.16
32.13,1.18
32.13,1.2
32.15,1.22
32.15,1.24
32.15,1.26
32.15,1.28
32.11,1.3
32.11,1.32
32.11,1.34
32.11,1.36
32.11,1.38
32.11,1.4
32.11,1.42
32.11,1.44
32.11,1.46
32.11,1.48
32.11,1.5
32.11,1.52
32.15,1.54
32.15,1.56
32.15,1.58
32.15,1.6
32.15,1.62
32.15,1.64
32.15,1.66
32.15,1.68
32.13,1.7
32.13,1.72
32.13,1.74
32.13,1.76
32.13,1.78
32.13,1.8
32.13,1.82
32.13,1.84
32.13,1.86
32.13,1.88
32.13,1.9
32.13,1.92
32.13,1.94
32.13,1.96
32.13,1.98
32.13,2
32.16,2.02
32.16,2.04
32.16,2.06
32.16,2.08
32.13,2.1
32.13,2.12
32.13,2.14
32.13,2.16
32.15,2.18
32.15,2.2
32.15,2.22
32.15,2.24
32.15,2.26
32.15,2.28
32.15,2.3
32.15,2.32
32.16,2.34
32.16,2.36
32.16,2.38
32.16,2.4
32.15,2.42
32.15,2.44
32.15,2.46
32.15,2.48
32.16,2.5
32.16,2.52
32.16,2.54
32.16,2.56
32.16,2.58
32.16,2.6
32.16,2.62
32.16,2.64
32.15,2.66
32.15,2.68
32.15,2.7
32.15,2.72
32.15,2.74
32.15,2.76
32.15,2.78
32.15,2.8
32.16,2.82
32.16,2.84
32.16,2.86
32.16,2.88
32.15,2.9
32.15,2.92
32.15,2.94
32.15,2.96
32.18,2.98
32.18,3
32.18,3.02
32.18,3.04
32.16,3.06
32.16,3.08
32.16,3.1
32.16,3.12
32.16,3.14
32.16,3.16
32.16,3.18
32.16,3.2
32.16,3.22
